aqi,co,no2,o3,pm10,pm25,so2
37.0,-999.0,60.0,41.0,40.0,24.0,27.0
38.0,-999.0,54.0,49.0,32.0,31.0,28.0
25.0,-999.0,41.0,74.0,25.0,17.0,9.0
30.0,-999.0,34.0,80.0,25.0,9.0,8.0
28.0,-999.0,41.0,75.0,16.0,13.0,14.0
24.0,-999.0,36.0,78.0,18.0,9.0,13.0
26.0,-999.0,41.0,79.0,13.0,15.0,2.0
40.0,-999.0,45.0,64.0,43.0,27.0,11.0
45.0,-999.0,46.0,50.0,42.0,22.0,13.0
65.0,-999.0,67.0,33.0,67.0,36.0,14.0
69.0,-999.0,86.0,1.0,81.0,36.0,33.0
104.0,-999.0,82.0,9.0,156.0,56.0,26.0
75.0,-999.0,75.0,8.0,95.0,41.0,12.0
64.0,-999.0,55.0,35.0,68.0,28.0,10.0
44.0,-999.0,51.0,32.0,49.0,29.0,3.0
64.0,-999.0,61.0,12.0,86.0,39.0,7.0
50.0,-999.0,45.0,27.0,50.0,44.0,10.0
54.0,-999.0,54.0,27.0,46.0,38.0,14.0
49.0,-999.0,42.0,33.0,46.0,42.0,16.0
32.0,-999.0,36.0,57.0,46.0,33.0,13.0
34.0,-999.0,38.0,55.0,28.0,31.0,17.0
38.0,-999.0,43.0,47.0,42.0,37.0,6.0
32.0,-999.0,33.0,49.0,33.0,22.0,14.0
41.0,-999.0,35.0,45.0,45.0,30.0,17.0
39.0,-999.0,41.0,53.0,50.0,30.0,12.0
58.0,-999.0,46.0,44.0,56.0,30.0,22.0
64.0,-999.0,33.0,50.0,52.0,53.0,23.0
64.0,-999.0,33.0,62.0,62.0,47.0,15.0
77.0,-999.0,34.0,64.0,64.0,63.0,17.0
81.0,-999.0,46.0,59.0,76.0,53.0,28.0
91.0,-999.0,43.0,46.0,87.0,61.0,26.0
90.0,-999.0,56.0,35.0,88.0,63.0,22.0
104.0,-999.0,65.0,24.0,121.0,69.0,17.0
100.0,-999.0,82.0,12.0,95.0,76.0,6.0
102.0,-999.0,77.0,6.0,96.0,80.0,6.0
109.0,-999.0,81.0,9.0,82.0,81.0,16.0
105.0,-999.0,70.0,1.0,96.0,83.0,9.0
104.0,-999.0,70.0,1.0,99.0,82.0,21.0
118.0,-999.0,76.0,9.0,111.0,85.0,13.0
117.0,-999.0,77.0,12.0,105.0,84.0,17.0
108.0,-999.0,67.0,12.0,100.0,81.0,19.0
99.0,-999.0,75.0,9.0,102.0,74.0,17.0
118.0,-999.0,73.0,9.0,97.0,91.0,17.0
115.0,-999.0,72.0,6.0,107.0,86.0,18.0
120.0,-999.0,73.0,6.0,120.0,82.0,24.0
118.0,-999.0,69.0,6.0,97.0,80.0,27.0
123.0,-999.0,77.0,1.0,127.0,98.0,19.0
120.0,-999.0,76.0,6.0,93.0,87.0,21.0
74.0,-999.0,66.0,11.0,80.0,59.0,28.0
93.0,-999.0,62.0,3.0,101.0,71.0,30.0
126.0,-999.0,77.0,12.0,104.0,98.0,29.0
103.0,-999.0,73.0,13.0,104.0,81.0,21.0
100.0,-999.0,69.0,16.0,86.0,75.0,29.0
118.0,-999.0,75.0,15.0,105.0,83.0,17.0
123.0,-999.0,79.0,12.0,118.0,101.0,22.0
145.0,-999.0,84.0,9.0,121.0,115.0,25.0
147.0,-999.0,89.0,12.0,129.0,117.0,15.0
157.0,-999.0,90.0,1.0,137.0,127.0,16.0
164.0,-999.0,86.0,12.0,137.0,128.0,17.0
167.0,-999.0,92.0,9.0,138.0,127.0,30.0
155.0,-999.0,90.0,1.0,138.0,123.0,31.0
145.0,-999.0,81.0,1.0,138.0,112.0,34.0
149.0,-999.0,80.0,6.0,140.0,110.0,28.0
154.0,-999.0,82.0,11.0,140.0,114.0,28.0
174.0,-999.0,91.0,9.0,147.0,139.0,28.0
190.0,-999.0,87.0,6.0,156.0,142.0,33.0
189.0,-999.0,77.0,9.0,136.0,134.0,23.0
168.0,-999.0,83.0,9.0,133.0,138.0,32.0
153.0,-999.0,66.0,9.0,126.0,116.0,19.0
168.0,-999.0,85.0,6.0,140.0,132.0,29.0
175.0,-999.0,79.0,1.0,158.0,134.0,30.0
191.0,-999.0,79.0,12.0,160.0,145.0,36.0
206.0,-999.0,84.0,12.0,174.0,159.0,30.0
196.0,-999.0,70.0,7.0,145.0,144.0,32.0
195.0,-999.0,61.0,26.0,154.0,154.0,41.0
195.0,-999.0,69.0,34.0,157.0,157.0,29.0
195.0,-999.0,72.0,31.0,10.0,157.0,35.0
42.0,-999.0,68.0,31.0,16.0,10.0,37.0
42.0,-999.0,68.0,14.0,16.0,10.0,23.0
215.0,-999.0,93.0,13.0,167.0,173.0,27.0
217.0,-999.0,107.0,6.0,186.0,172.0,31.0
227.0,-999.0,108.0,6.0,191.0,169.0,32.0
226.0,-999.0,103.0,12.0,185.0,182.0,28.0
218.0,-999.0,102.0,6.0,198.0,179.0,24.0
226.0,-999.0,106.0,6.0,185.0,165.0,38.0
211.0,-999.0,102.0,1.0,185.0,150.0,33.0
99.0,0.7,82.0,14.0,83.0,78.0,28.0
39.0,0.7,43.0,45.0,83.0,32.0,8.0
42.0,0.7,50.0,47.0,31.0,19.0,20.0
75.0,0.7,64.0,12.0,31.0,54.0,18.0
62.0,0.7,50.0,37.0,31.0,43.0,12.0
48.0,0.7,50.0,31.0,31.0,33.0,11.0
37.0,0.7,48.0,38.0,31.0,28.0,13.0
36.0,0.7,49.0,18.0,31.0,30.0,14.0
30.0,0.7,64.0,19.0,40.0,21.0,19.0
35.0,0.7,56.0,20.0,33.0,26.0,15.0
24.0,0.5,43.0,31.0,24.0,17.0,5.0
37.0,0.4,36.0,48.0,27.0,26.0,8.0
31.0,0.3,38.0,49.0,27.0,22.0,7.0
36.0,0.3,39.0,53.0,27.0,25.0,5.0
50.0,0.3,42.0,54.0,50.0,26.0,6.0
59.0,0.5,57.0,36.0,64.0,42.0,9.0
87.0,0.6,65.0,28.0,123.0,61.0,12.0
90.0,0.6,67.0,24.0,90.0,67.0,13.0
76.0,0.5,66.0,18.0,85.0,56.0,11.0
69.0,0.4,65.0,14.0,73.0,50.0,11.0
59.0,0.4,60.0,20.0,66.0,42.0,11.0
60.0,0.4,61.0,18.0,67.0,43.0,11.0
65.0,0.5,67.0,9.0,65.0,47.0,11.0
76.0,0.7,76.0,2.0,83.0,56.0,15.0
